Virginia Commonwealth University,Richmond,VA,NCAA I,M,
Virginia State University,Petersburg,VA,NCAA II,M,
Virginia Tech,Blacksburg,VA,NCAA I,M,W
Virginia Union University,Richmond,VA,NCAA II,M,
Virginia Wesleyan College,Norfolk,VA,NCAA III,M,W
Viterbo University,La Crosse,WI,NAIA,M,W
Wabash College,Crawfordsville,IN,NCAA III,M,
Wagner College,Staten Island,NY,NCAA I,M,W
Wake Forest University,Winston-Salem,NC,NCAA I,M,W
Waldorf University,Forest City,IA,NAIA,M,W
Walla Walla University,College Place,WA,NAIA,M,W
Wallace State CC - Hanceville,Hanceville,AL,NJCAA,M,W
Walsh University,North Canton,OH,NCAA II,M,W
Walters State CC,Morristown,TN,NJCAA,M,
Wartburg College,Waverly,IA,NCAA III,M,W
Washburn University,Topeka,KS,NCAA II,M,
Washington & Jefferson College,Washington,PA,NCAA III,M,W
Washington & Lee University,Lexington,VA,NCAA III,M,W
Washington College,Chestertown,MD,NCAA III,M,W
Washington State University,Pullman,WA,NCAA I,M,W
Washington University in St Louis,Saint Louis,MO,NCAA III,,W
Waubonsee CC,Sugar Grove,IL,NJCAA,M,
Wayland Baptist University,Plainview,TX,NAIA,M,W
Wayne County CC,Detroit,MI,NJCAA,M,W
Wayne State College,Wayne,NE,NCAA II,,W
Wayne State University,Detroit,MI,NCAA II,M,W
Waynesburg University,Waynesburg,PA,NCAA III,M,W
Weatherford College,Weatherford,TX,NJCAA,M,
Webber International University,Babson Park,FL,NAIA,M,W
Weber State University,Ogden,UT,NCAA I,M,W
Webster University,Saint Louis,MO,NCAA III,M,
Wellesley College,Wellesley,MA,NCAA III,,W
Wentworth Institute of Technology,Boston,MA,NCAA III,M,
Wesleyan University,Middletown,CT,NCAA III,M,W
West Chester University,West Chester,PA,NCAA II,M,W
West Liberty University,West Liberty,WV,NCAA II,M,W
West Texas A & M University,Canyon,TX,NCAA II,M,W
West Virginia State University,Institute,WV,NCAA II,M,
West Virginia University,Morgantown,WV,NCAA I,M,
West Virginia Wesleyan College,Buckhannon,WV,NCAA II,M,W
Westchester Community College,Valhalla,NY,NJCAA,M,
Western Carolina University,Cullowhee,NC,NCAA I,M,W
Western Connecticut State Univ,Danbury,CT,NCAA III,M,
Western Illinois University,Macomb,IL,NCAA I,M,W
Western Kentucky University,Bowling Green,KY,NCAA I,M,W
Western Michigan University,Kalamazoo,MI,NCAA I,,W
Western New England University,Springfield,MA,NCAA III,M,
Western New Mexico University,Silver City,NM,NCAA II,M,W
Western Texas College,Snyder,TX,NJCAA,M,W
Western Washington University,Bellingham,WA,NCAA II,M,W
Westfield State University,Westfield,MA,NCAA III,M,W
Westminster College,Fulton,MO,NCAA III,M,W
Westminster College,New Wilmington,PA,NCAA III,M,W
Westminster College,Salt Lake City,UT,NCAA II,M,W
Westmont College,Santa Barbara,CA,NCAA II,M,W
Westmoreland County CC,Youngwood,PA,NJCAA,M,W
Wheaton College,Wheaton,IL,NCAA III,M,W
Wheeling University,Wheeling,WV,NCAA II,M,W
Whitman College,Walla Walla,WA,NCAA III,M,W
Whitworth University,Spokane,WA,NCAA III,M,W
Wichita State University,Wichita,KS,NCAA I,M,W
Widener University,Chester,PA,NCAA III,M,W
Wilberforce University,Wilberforce,OH,NAIA,M,W
Wiley College,Marshall,TX,NAIA,M,W
Wilkes University,Wilkes-Barre,PA,NCAA III,M,W
Willamette University,Salem,OR,NCAA III,M,W
William Carey University,Hattiesburg,MS,NAIA,M,W
William Jessup University,Rocklin,CA,NAIA,M,W
William Jewell College,Liberty,MO,NCAA II,M,W
William Paterson University,Wayne,NJ,NCAA III,M,
William Peace University,Raleigh,NC,NCAA III,M,
William Penn University,Oskaloosa,IA,NAIA,M,W
William Woods University,Fulton,MO,NAIA,M,W
Williams Baptist College,Walnut Ridge,AR,NAIA,M,W
Williams College,Williamstown,MA,NCAA III,M,W
Wilmington University,New Castle,DE,NCAA II,M,
Wilson College,Chambersburg,PA,NCAA III,M,
Wingate University,Wingate,NC,NCAA II,M,W
Winona State University,Winona,MN,NCAA II,M,W
Winston-Salem State University,Winston-Salem,NC,NCAA II,M,
Winthrop University,Rock Hill,SC,NCAA I,M,W
Wisconsin Lutheran College,Milwaukee,WI,NCAA III,M,W
Wittenberg University,Springfield,OH,NCAA III,M,W
Wofford College,Spartanburg,SC,NCAA I,M,W
Worcester State University,Worcester,MA,NCAA III,M,W
Wright State University,Dayton,OH,NCAA I,M,
WVU Institute of Technology,Montgomery,WV,NAIA,M,
Xavier University,Cincinnati,OH,NCAA I,M,W
Yale University,New Haven,CT,NCAA I,M,W
Yeshiva University,New York,NY,NCAA III,M,
York College,York,NE,NAIA,M,W
York College Pennsylvania,York,PA,NCAA III,M,W
York County CC,Wells,ME,USCAA,M,W
Young Harris College,Young Harris,GA,NCAA II,M,W
Youngstown State University,Youngstown,OH,NCAA I,M,W
